file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\Kaveri\Downloads\Files\Brida\Brida\src\main\java\burp\BurpExtender.java,BurpExtender$Anonymous60,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,4,4,2,2,2,0,0,0,0,5,-1,0
C:\Users\Kaveri\Downloads\Files\Brida\Brida\src\main\java\burp\BurpExtender.java,BurpExtender$Anonymous61,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0
C:\Users\Kaveri\Downloads\Files\Brida\Brida\src\main\java\burp\BurpExtender.java,BurpExtender$Anonymous62,anonymous,4,4,0,4,3,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,7,1,10,4,4,1,0,0,0,20,-1,0
C:\Users\Kaveri\Downloads\Files\Brida\Brida\src\main\java\burp\BurpExtender.java,BurpExtender$Anonymous1$Anonymous4,anonymous,1,1,0,1,2,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,2,0,0,0,0,1,0,0,0,8,-1,0
C:\Users\Kaveri\Downloads\Files\Brida\Brida\src\main\java\burp\BurpExtender.java,BurpExtender$Anonymous63,anonymous,4,4,0,4,2,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,4,1,9,3,4,1,0,0,0,20,-1,0
C:\Users\Kaveri\Downloads\Files\Brida\Brida\src\main\java\burp\BurpExtender.java,BurpExtender$Anonymous1$Anonymous2,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,-1,0
C:\Users\Kaveri\Downloads\Files\Brida\Brida\src\main\java\burp\BurpExtender.java,BurpExtender$Anonymous20,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
C:\Users\Kaveri\Downloads\Files\Brida\Brida\src\main\java\burp\BurpExtender.java,BurpExtender$Anonymous64,anonymous,5,5,0,5,5,1,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26,0,1,1,0,0,9,2,14,6,6,2,0,0,0,25,-1,0
C:\Users\Kaveri\Downloads\Files\Brida\Brida\src\main\java\burp\BurpExtender.java,BurpExtender$Anonymous54,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,-1,0
C:\Users\Kaveri\Downloads\Files\Brida\Brida\src\main\java\burp\BurpExtender.java,BurpExtender$Anonymous56,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,-1,0
