file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\abhi\Downloads\Kafka\kafka\clients\src\main\java\org\apache\kafka\common\requests\DescribeClusterRequest.java,org.apache.kafka.common.requests.DescribeClusterRequest$Builder,innerclass,3,3,0,3,3,2,0,1,0,0,1,1,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,13,2,0,0,0,0,0,0,1,0,1,0,0,0,0,10,9,0
C:\Users\abhi\Downloads\Kafka\kafka\clients\src\main\java\org\apache\kafka\common\requests\SaslAuthenticateResponse.java,org.apache.kafka.common.requests.SaslAuthenticateResponse,class,6,12,6,6,10,2,0,6,3,0.3,0.46666667,0.46666667,10,1,10,0,0,0,10,0,0,0,1,0,0,1,0,0,1,0,2,33,8,0,0,0,0,0,0,1,0,1,0,0,0,0,58,1,0
C:\Users\abhi\Downloads\Kafka\kafka\streams\src\main\java\org\apache\kafka\streams\errors\StreamsUncaughtExceptionHandler.java,org.apache.kafka.streams.errors.StreamsUncaughtExceptionHandler,interface,1,2,1,1,1,1,0,0,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,57,1,0
C:\Users\abhi\Downloads\Kafka\kafka\connect\mirror\src\main\java\org\apache\kafka\connect\mirror\formatters\OffsetSyncFormatter.java,org.apache.kafka.connect.mirror.formatters.OffsetSyncFormatter,class,3,3,0,3,1,1,0,2,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
C:\Users\abhi\Downloads\Kafka\kafka\connect\transforms\src\main\java\org\apache\kafka\connect\transforms\ReplaceField.java,org.apache.kafka.connect.transforms.ReplaceField,class,18,24,6,18,29,3,0,42,104,0.8828125,0.06410257,0.1923077,16,2,5,3,3,5,13,3,0,0,8,3,2,6,0,0,3,0,8,142,13,5,6,0,1,19,4,25,5,23,2,1,3,0,90,1025,0
C:\Users\abhi\Downloads\Kafka\kafka\streams\src\main\java\org\apache\kafka\streams\state\DslStoreSuppliers.java,org.apache.kafka.streams.state.DslStoreSuppliers,interface,7,11,4,7,4,1,0,0,6,0,0,0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,1,0
C:\Users\abhi\Downloads\Kafka\kafka\clients\src\main\java\org\apache\kafka\clients\producer\internals\SenderMetricsRegistry.java,org.apache.kafka.clients.producer.internals.SenderMetricsRegistry,class,7,12,5,7,17,1,0,13,0,0.8823532,0.8681319,1,17,0,14,3,0,0,14,0,0,0,36,1,22,13,0,1,36,0,0,126,15,0,0,0,0,66,0,37,2,37,0,0,0,0,114,1,0
C:\Users\abhi\Downloads\Kafka\kafka\trogdor\src\test\java\org\apache\kafka\trogdor\workload\ExternalCommandWorkerTest.java,org.apache.kafka.trogdor.workload.ExternalCommandWorkerTest$ExternalCommandWorkerBuilder,innerclass,6,6,0,6,4,1,0,3,0,0.5,0.5,1,4,0,0,0,0,4,4,0,0,0,4,0,0,4,0,0,2,0,2,24,3,0,0,0,0,4,5,7,0,5,0,0,0,0,18,8,0
C:\Users\abhi\Downloads\Kafka\kafka\connect\runtime\src\main\java\org\apache\kafka\connect\runtime\Connect.java,org.apache.kafka.connect.runtime.Connect$ShutdownHook,innerclass,1,1,0,1,2,2,0,3,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,1,0,0,0,0,1,0,0,0,15,2,1
C:\Users\abhi\Downloads\Kafka\kafka\streams\src\test\java\org\apache\kafka\streams\processor\internals\ProcessorContextImplTest.java,org.apache.kafka.streams.processor.internals.ProcessorContextImplTest$Anonymous1,anonymous,2,2,0,2,3,1,0,2,3,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,1,0,0,0,0,11,-1,0
